Club Name,Course Name,Website
Aberdour Golf Club,Aberdour Golf Club,https://www.aberdourgolfclub.co.uk
Aberfeldy Golf Club,Aberfeldy Golf Club,https://www.aberfeldy-golfclub.co.uk
Aberfoyle Golf Club,Aberfoyle Golf Club,https://www.aberfoylegolf.co.uk
Abernethy Golf club,Abernethy Golf club,https://www.abernethygolfclub.com
Aboyne Golf Course,Aboyne Golf Course,https://www.aboynegolfclub.co.uk
Aigas Golf Course,Aigas Golf Course,https://aigasgolfcourse.co.uk
Airdrie Golf Club,Airdrie Golf Club,https://www.airdriegolfclub.co.uk
Alford Golf Club,Alford Golf Club,https://www.alfordgolfclub.com
Alloa Golf Club,Schawpark Golf course,https://www.alloagolfclub.co.uk
Alness Golf Club,Alness Golf Club,https://www.alnessgolf.co.uk
Alva Golf Course,Alva Golf Course,https://www.alvagolfclub.co.uk
Alyth Golf Club,Glenisla Golf Course,https://www.alythgolfclub.co.uk/glenisla-course
Alyth Golf Course,Alyth Golf Course,https://www.alythgolfclub.co.uk
Annanhill Golf Club,Annanhill Golf Club,https://annanhillgolfclub.co.uk
Anstruther Golf Club,Anstruther Golf Club,https://www.anstruthergolf.co.uk
Antonine Par 3 Academy Course,Antonine Par 3 Academy Course,https://www.falkirkgolfclub.co.uk
Arbroath Artisan Golf Club,Arbroath Golf Course,https://www.arbroathgolfcourse.co.uk
Archerfield Links,Archerfield Links,https://www.archerfieldgolfclub.com
Ardeer Golf Club,Ardeer Golf Club,https://ardeergolfclub.co.uk
Ardfin Golf Course,Ardfin Golf Course,https://www.ardfin.com/golf
Asta Golf Club,Asta Golf Club,https://www.astagolfcourse.com
Auchenblae Parks Committee,Auchenblae Golf Course,https://www.auchenblaegolfcourse.co.uk
Auchenharvie Golf Course,Auchenharvie Golf Course,https://kaleisure.com/location/auchenharvie-golf-course
Auchmill Golf Course,Auchmill Golf Course,https://auchmillgolfclub.co.uk
Auchterarder Golf Club,Auchterarder Golf Club,https://www.auchterardergolf.co.uk/home
Baberton Golf Course,Baberton Golf Course,https://babertongc.com
Balbirnie Park Golf Club,Balbirnie Park Golf Club,https://www.balbirniegolf.com
Balfron Golf Club,Balfron Golf Club,https://www.balfrongolfsociety.org.uk
Ballindalloch Estate,Ballindalloch Castle Golf Course,https://www.ballindallochcastlegolf.com
Ballochmyle Golf Club,Ballochmyle Golf Club,https://ballochmylegolfclub.com
Ballumbie Castle Golf Course,Ballumbie Castle Golf Course,https://www.ballumbiegolf.co.uk
Balmoral Estate 9-hole golf course,Balmoral Estate 9-hole golf course,https://balmoralcastle.com/visiting/balmoral-estate/golf
Balmore Golf Club,Balmore Golf Club,https://www.balmoregolfclub.co.uk
Balnagask Golf Course,Balnagask Golf Course,https://www.sportaberdeen.co.uk/balnagask
Banchory Golf Club,Banchory Golf Club,https://www.banchorygolfclub.co.uk
Barnard Castle Golf Course,Barnard Castle Golf Course,https://www.barnardcastlegolfclub.org
Barshaw Park Golf Course,Barshaw Park Golf Course,https://www.oneren.org/sport/golf-and-bowling-greens
Bathgate Golf Course,Bathgate Golf Course,https://www.bathgategolfclub.com
Bearsden Golf Club,Bearsden Golf Club,https://bearsdengolfclub.co.uk
Beith Golf Club,Beith Golf Club,https://www.beithgolfclub.co.uk
Bellshill Golf Club,Bellshill Golf Club,https://www.bellshillgolfclub.com
Benbecula Golf Club,Raon Goilf Beinn na Faoghla,https://www.benbeculagolfclub.co.uk
Biggar Golf Club,Biggar Golf Club,https://www.biggargolfclub.co.uk
Billingham Golf Club,Billingham Golf Club,https://www.billinghamgolfclub.com
Bishopbriggs Golf Club,Bishopbriggs Golf Club,http://www.thebishopbriggsgolfclub.com
Bishopshire Golf Club,Bishopshire Golf Club,https://www.bishopshiregolf.club
Blair Atholl Golf Club,Blair Atholl Golf Club,https://www.blairathollgolf.co.uk
Blairgowrie Golf Club,Blairgowrie Golf Club,https://www.theblairgowriegolfclub.co.uk
Blairmore and Strone Golf Club,Blairmore and Strone Golf Club,
Boat of Garten Golf and Tennis Club,Boat of Garten Golf and Tennis Club,https://www.boatgolf.com
"Bonar Bridge, Ardgay Golf Club","Bonar Bridge, Ardgay Golf Club",https://www.bbagc.co.uk
Bonnybridge Golf Club,Bonnybridge Golf Club,http://www.bonnybridgegc.co.uk
Bonnyton Golf Club,Bonnyton Golf Club,https://www.bonnytongolfclub.com
Bothwell Castle Golf Club,Bothwell Castle Golf Club,https://www.bcgolf.co.uk
Braehead Golf Club,Braehead Golf Club,https://www.braeheadgolfclub.co.uk
Braemar Golf Club,Braemar Golf Club,https://www.braemargolfclub.co.uk
Braid Hills Golf Centre,Braid Hills Golf Centre,https://www.braidhillsgolf.co.uk
Braid Hills Golf Course,Braid Hills Golf Course,https://www.edinburghleisure.co.uk/venues/braid-hills-golf-course
Brancumhall Golf Development Centre,Brancumhall Golf Development Centre,https://www.slleisureandculture.co.uk/info/246/brancumhall_golf_development_centre
Brechin Golf Club,Brechin Golf Club,https://www.brechingolfclub.co.uk
Bridge of Allan Golf Club,Bridge of Allan Golf Club,https://www.bofagc.com
Bridgend & District Golf Club,Bridgend & District Golf Club,https://www.bridgendgolfclub.com
Brighouse Bay Golf Club,Brighouse Bay Golf Club,http://www.brighousebay-golfclub.co.uk
Broadlees Golf Course,Broadlees Golf Course,https://www.broadleesgolf.co.uk
Brodick Golf Course,Brodick Golf Course,https://www.brodickgolf.com
Broomieknowe Golf Course,Broomieknowe Golf Course,https://www.broomieknowe.com
Brora Golf Club,Brora Golf Club,https://www.broragolfclub.co.uk
Brown Trout Inn golf course,Brown Trout Inn golf course,https://browntroutinn.com
Bruntsfield Links Golfing Society,Bruntsfield Links,https://www.bruntsfieldlinks.co.uk
Bruntsfield Links Short Hole Golf Course,Bruntsfield Links Short Hole Golf Course,https://www.bruntsfieldshortholegolfclub.co.uk
Buchanan Castle Golf Club,Buchanan Castle Golf Club,https://www.buchanancastlegolfclub.co.uk
Buckpool Golf Club,Buckpool Golf Club,https://buckpoolgolf.com
Burgham Park Golf Club,Burgham Park Golf Club,https://www.burghampark.co.uk
Bute Golf Club,Bute Golf Club,https://www.butegolfclub.com
Calderbraes Golf Club,Calderbraes Golf Club,http://calderbraes-golf-club.co.uk
Caldwell Golf Club,Caldwell Golf Club,https://caldwellgolfclub.com
Callander Golf Club,Callander Golf Club,https://www.callandergolfclub.co.uk
Callendar Park Golf Course,Callendar Park Golf Course,
