Club Name,Course Name,Website
Aberdour Golf Club,Aberdour Golf Club,https://www.aberdourgolfclub.co.uk
Aberfeldy Golf Club,Aberfeldy Golf Club,https://www.aberfeldy-golfclub.co.uk
Aberfoyle Golf Club,Aberfoyle Golf Club,https://www.aberfoylegolf.co.uk
Abernethy Golf club,Abernethy Golf club,https://www.abernethygolfclub.com
Aboyne Golf Course,Aboyne Golf Course,https://www.aboynegolfclub.co.uk
admin@deesidegolfclub.com,Deeside Golf Club,https://www.deesidegolfclub.com
admin@gaileslinks.co.uk,Glasgow Golf Club / Gailes Links,https://www.gaileslinks.co.uk
admin@pinesgolf.com,The Pines Golf Centre,http://www.pinesgolf.com
admin@portlethengolfclub.com,Portlethen Golf Club,https://www.portlethengolfclub.com
Aigas Golf Course,Aigas Golf Course,https://aigasgolfcourse.co.uk
Ailsa,Ailsa,
Alford Golf Club,Alford Golf Club,https://www.alfordgolfclub.com
Allendale Golf Club,Allendale Golf Club,https://www.allendale-golf.com
Alloa Golf Club,Schawpark Golf course,https://www.alloagolfclub.co.uk
Alness Golf Club,Alness Golf Club,https://www.alnessgolf.co.uk
Alnmouth Golf Club,Alnmouth Golf Club,https://www.alnmouthgolfclub.com
Alnwick Castle Golf Club,Alnwick Castle Golf Club,https://www.alnwickcastlegolfclub.co.uk
Alston Moor Golf Course,Alston Moor Golf Course,https://alstonmoorgolfclub.org.uk
Alva Golf Course,Alva Golf Course,https://www.alvagolfclub.co.uk
Alyth Golf Club,Glenisla Golf Course,https://www.alythgolfclub.co.uk/glenisla-course
Alyth Golf Course,Alyth Golf Course,https://www.alythgolfclub.co.uk
Annanhill Golf Club,Annanhill Golf Club,https://annanhillgolfclub.co.uk
Anstruther Golf Club,Anstruther Golf Club,https://www.anstruthergolf.co.uk
Antonine Par 3 Academy Course,Antonine Par 3 Academy Course,https://www.falkirkgolfclub.co.uk
Antrim and Newtownabbey Borough Council,Ballyearl Golf Course,https://antrimandnewtownabbey.gov.uk/leisure-centres/book-online/book-golf
Appleby Golf Club,Appleby Golf Club,https://www.applebygolfclub.co.uk
Arbroath Artisan Golf Club,Arbroath Golf Course,https://www.arbroathgolfcourse.co.uk
Arbroath West Links Pitch & Putt,Arbroath West Links Pitch & Putt,https://www.angus.gov.uk/services/view_service_detail.cfm?serviceid=1316
Archerfield Links,Archerfield Links,https://www.archerfieldgolfclub.com
Arcot Hall Golf Club,Arcot Hall Golf Club,https://www.arcothall.co.uk
Ardeer Golf Club,Ardeer Golf Club,https://ardeergolfclub.co.uk
Ardfin Golf Course,Ardfin Golf Course,https://www.ardfin.com/golf
Asta Golf Club,Asta Golf Club,https://www.astagolfcourse.com
Atholl Palace Hotel Pitch and Putt course,Atholl Palace Hotel Pitch and Putt course,https://www.athollpalace.com/attractions/putting-green
Auchenblae Parks Committee,Auchenblae Golf Course,https://www.auchenblaegolfcourse.co.uk
Auchenharvie Golf Course,Auchenharvie Golf Course,https://kaleisure.com/location/auchenharvie-golf-course
Auchmill Golf Course,Auchmill Golf Course,https://auchmillgolfclub.co.uk
Auchterarder Golf Club,Auchterarder Golf Club,https://www.auchterardergolf.co.uk/home
B. A.  Club Pitch and Putt,B. A.  Club Pitch and Putt,https://www.facebook.com/pages/BA-Club/151694704870059
Baberton Golf Course,Baberton Golf Course,https://babertongc.com
Backworth Golf Club,Backworth Golf Club,https://backworthgolf.com
Balbirnie Park Golf Club,Balbirnie Park Golf Club,https://www.balbirniegolf.com
Balfron Golf Club,Balfron Golf Club,https://www.balfrongolfsociety.org.uk
Ballindalloch Estate,Ballindalloch Castle Golf Course,https://www.ballindallochcastlegolf.com
Ballochmyle Golf Club,Ballochmyle Golf Club,https://ballochmylegolfclub.com
Ballumbie Castle Golf Course,Ballumbie Castle Golf Course,https://www.ballumbiegolf.co.uk
Ballyclare Golf Course,Ballyclare Golf Course,
Ballyliffin Golf Club,Ballyliffin Golf Club,https://ballyliffingolfclub.com
Ballymena Golf Course,Ballymena Golf Course,
Ballyreagh Golf Course,Ballyreagh Golf Course,
Balmoral Estate 9-hole golf course,Balmoral Estate 9-hole golf course,https://balmoralcastle.com/visiting/balmoral-estate/golf
Balmoral Golf Club,Balmoral Golf Club,
Balmore Golf Club,Balmore Golf Club,https://www.balmoregolfclub.co.uk
Balnagask Golf Course,Balnagask Golf Course,https://www.sportaberdeen.co.uk/balnagask
Bamburgh Castle Golf Club,Bamburgh Castle Golf Club,https://www.bamburghcastlegolfclub.co.uk
Banchory Golf Club,Banchory Golf Club,https://www.banchorygolfclub.co.uk
Bangor Golf Club,Bangor Golf Club,
Barnard Castle Golf Course,Barnard Castle Golf Course,https://www.barnardcastlegolfclub.org
Barshaw Park Golf Course,Barshaw Park Golf Course,https://www.oneren.org/sport/golf-and-bowling-greens
Bathgate Golf Course,Bathgate Golf Course,https://www.bathgategolfclub.com
Bathgate Golf Course,Bathgate Golf Course,https://www.westlothianleisure.com/activities/sports/golf
Beamish Park Golf Club,Beamish Park Golf Club,https://www.beamish-park-hotel.co.uk/golf
Beamish Park Golf Course,Beamish Park Golf Course,https://www.beamishgolf.co.uk
Bearsden Golf Club,Bearsden Golf Club,https://bearsdengolfclub.co.uk
Bedlingtonshire Golf Club,Bedlingtonshire Golf Club,https://www.bedlingtongolfclub.com
Beginners Golf Course,Beginners Golf Course,
Beith Golf Club,Beith Golf Club,https://www.beithgolfclub.co.uk
Belford Golf Club,Belford Golf Club,
Bellahouston Park Pitch & Putt,Bellahouston Park Pitch & Putt,
Bellingham Golf Club,Bellingham Golf Club,https://www.bellinghamgolfclub.com
Bellshill Golf Club,Bellshill Golf Club,https://www.bellshillgolfclub.com
Belvoir Golf Course,Belvoir Golf Course,
Benbecula Golf Club,Raon Goilf Beinn na Faoghla,https://www.benbeculagolfclub.co.uk
Bentra Golf Course,Bentra Golf Course,
Biggar Golf Club,Biggar Golf Club,https://www.biggargolfclub.co.uk
Billingham Golf Club,Billingham Golf Club,https://www.billinghamgolfclub.com
Birtley Golf Club,Birtley Golf Club,http://www.birtleyportobellogolfclub.co.uk
Bishop Auckland Golf Club,Bishop Auckland Golf Club,https://bishopaucklandgolfclub.co.uk
Bishopbriggs Golf Club,Bishopbriggs Golf Club,http://www.thebishopbriggsgolfclub.com
Bishopbriggs Golf Range,Bishopbriggs Golf Range,https://bishopbriggsgolfrange.co.uk
Bishopshire Golf Club,Bishopshire Golf Club,https://www.bishopshiregolf.club
