name,website,region,town,holes,clubId,in_seed
Abbotsford Golf Club,https://www.abbotsfordgolf.co.uk/website/,South Ayrshire,Ayr,18,2001,
Aberdeen Ladies Golf Club,http://www.aberdeenladiesgc.co.uk/,Aberdeen City,Aberdeen,18,2002,
Aberdeen Petroleum Golf Club,https://kippielodge.co.uk,Aberdeen City,Aberdeen,18,2003,
Aberdour Golf Club,https://www.aberdourgolfclub.co.uk/,Fife,Burntisland,18,2005,
Aberfeldy Golf Club,https://www.aberfeldy-golfclub.co.uk/,Perth & Kinross,Aberfeldy,9,2006,yes
Aberfoyle Golf Club,https://www.aberfoylegolf.co.uk/,Stirling,Stirling,18,2007,
Abernethy Golf Club,https://abernethygolfclub.com/,Highland,Nethy Bridge,9,2009,
Aboyne Golf Club,https://www.aboynegolfclub.co.uk/,Aberdeenshire,Aboyne,18,2010,yes
Aigas Golf Club,https://www.aigas-holidays.co.uk/aigas-golf/,Highland,Beauly,18,2013,yes
Ailsa Craig Golf Club,https://www.turnberry.co.uk/ailsa-golf-course-scotland,South Ayrshire,Ayr,18,2014,
Airdrie Golf Club,https://www.airdriegolfclub.co.uk/,North Lanarkshire,Airdrie,18,2015,
Alford Golf Club,https://www.alfordgolfclub.com/,Aberdeenshire,Alford,18,2016,
Alloa Golf Club,https://alloagolfclub.co.uk/,Clackmannanshire,Alloa,18,2017,yes
Alness Golf Club,https://alnessgolf.co.uk/,Highland,Alness,18,2018,yes
Alton Golf Club,https://www.altongolfclub.com/,North Ayrshire,Stevenston,18,2019,
Alva Golf Club,https://www.alvagolfclub.co.uk/,Clackmannanshire,Alva,18,2020,yes
Alyth Golf Club,https://www.alythgolfclub.co.uk/,Perth & Kinross,Blairgowrie,18,2021,yes
Annanhill Golf Club,https://eastayrshireleisure.com/venue/annanhill-golf-course/,East Ayrshire,Kilmarnock,18,2025,yes
Anstruther Golf Club,http://www.anstruthergolf.co.uk/,Fife,"Anstruther, KY10 3DZ",18,2026,yes
Arbroath Golf Links Golf Club,https://www.arbroathgolfcourse.co.uk/,Angus,,,2720,
Archerfield Links Golf Club,https://www.archerfieldgolfclub.com/,East Lothian,North Berwick,18,2028,
Ardeer Golf Club,https://ardeergolfclub.co.uk/,North Ayrshire,Stevenston,18,2029,
Askernish Golf Club,https://www.askernishgolfclub.com/,Eilean Siar,Isle of South Uist,18,2032,
Auchenblae Golf Club,https://www.auchenblaegolfcourse.co.uk/,Aberdeenshire,Auchenblae,18,2033,yes
Auchenharvie 88 Golf Club,https://www.auchenharvie88.co.uk/,North Ayrshire,Stevenston,18,2034,
Auchmill Golf Club,https://auchmillgolfclub.co.uk/,Aberdeen City,Aberdeen,18,2035,
Auchterarder Golf Club,https://www.auchterardergolf.co.uk/,Perth & Kinross,Auchterarder,18,2036,yes
Ayr Belleisle Golf Club,https://ayrbelleislegolfclub.co.uk/,South Ayrshire,Ayr,18,2038,
Ayr Carrick Golf Club,https://www.ayrcarrick.golf-club.website/,South Ayrshire,Ayr,18,2040,
Ayr Neptune Golf Club,http://www.neptunegc.co.uk/,South Ayrshire,Glasgow,18,2043,
Ayr Seafield Golf Club,https://ayrseafield.golf-club.website/website/index.php,South Ayrshire,Ayr,18,2044,
Ayr Seafield Ladies Golf Club,https://www.seafieldladiesgolfclub.com/club-info/index,South Ayrshire,Ayr,18,2045,
Ayrshire Golf Association,https://ayrshiregolf.blogspot.com/,South Ayrshire,Prestwick,18,2046,
Baberton Golf Club,https://www.babertongc.com/,Edinburgh,Juniper Green,18,2048,
Balbirnie Park Golf Club,https://www.balbirniegolf.com/,Fife,Glenrothes,18,2049,yes
Balfron Golf Society,https://www.balfrongolfclub.co.uk/,Stirling,Balfron,18,2050,
Ballater Golf Club,https://www.ballatergolfclub.co.uk/,Aberdeenshire,Ballater,18,2052,
